station_code,endReason,end_reason_category,order_count
STATION_01,BST车端主动停止(达到单体电压),待业务确认,117
STATION_07,BST车端主动停止(达到单体电压),待业务确认,117
STATION_09,等待接收车端BRM报文超时,待业务确认,115
STATION_02,BST车端主动停止,待业务确认,112
STATION_14,BST车端主动停止,待业务确认,111
STATION_12,达到桩端设置SOC阈值停止,待业务确认,109
STATION_02,BST车端主动停止(达到单体电压),待业务确认,106
STATION_09,达到桩端设置SOC阈值停止,待业务确认,106
STATION_04,屏幕手动停止,待业务确认,103
STATION_08,BST车端主动停止(达到总电压),待业务确认,103
STATION_08,BST其他异常,待业务确认,101
STATION_14,APP/微信/平台停止,待业务确认,98
STATION_03,屏幕手动停止,待业务确认,97
STATION_04,BST车端主动停止(达到总电压),待业务确认,96
STATION_04,余额不足停止,待业务确认,96
STATION_09,BST其他异常,待业务确认,95
STATION_03,枪未正确连接/连接断开,待业务确认,93
STATION_15,余额不足停止,待业务确认,90
STATION_04,等待接收车端BRM报文超时,待业务确认,88
STATION_14,BST车端主动停止(达到单体电压),待业务确认,88
STATION_04,充电模块绝缘升压超时,待业务确认,87
STATION_04,桩主动停止,待业务确认,84
STATION_12,BST车端主动停止(达到总电压),待业务确认,77
STATION_15,BST其他异常,待业务确认,72
STATION_04,BST其他异常,待业务确认,70
STATION_09,充电设备产生有新充电订单,待业务确认,67
STATION_15,枪未正确连接/连接断开,待业务确认,66
STATION_18,余额不足停止,待业务确认,66
STATION_03,等待接收车端BRM报文超时,待业务确认,61
STATION_04,桩端急停按钮被按下,待业务确认,61
STATION_15,等待接收车端BRM报文超时,待业务确认,60
STATION_11,枪未正确连接/连接断开,待业务确认,55
STATION_19,达到桩端设置SOC阈值停止,待业务确认,55
STATION_04,达到桩端设置SOC阈值停止,待业务确认,52
STATION_15,桩端急停按钮被按下,待业务确认,51
STATION_03,达到桩端设置SOC阈值停止,待业务确认,49
STATION_03,BST车端主动停止(达到总电压),待业务确认,47
STATION_10,BST车端主动停止(达到总电压),待业务确认,46
STATION_13,BST车端主动停止(达到总电压),待业务确认,45
STATION_14,屏幕手动停止,待业务确认,44
STATION_12,余额不足停止,待业务确认,43
STATION_18,达到桩端设置SOC阈值停止,待业务确认,41
STATION_11,BST车端主动停止(达到总电压),待业务确认,39
STATION_10,枪未正确连接/连接断开,待业务确认,38
STATION_03,BST其他异常,待业务确认,37
STATION_06,余额不足停止,待业务确认,36
STATION_18,等待接收车端BRM报文超时,待业务确认,36
STATION_06,达到桩端设置SOC阈值停止,待业务确认,35
STATION_09,桩端急停按钮被按下,待业务确认,35
STATION_18,BST车端主动停止(达到总电压),待业务确认,35
STATION_03,桩端急停按钮被按下,待业务确认,33
STATION_15,屏幕手动停止,待业务确认,33
STATION_16,枪未正确连接/连接断开,待业务确认,32
STATION_06,BST车端主动停止(达到总电压),待业务确认,31
STATION_08,桩端急停按钮被按下,待业务确认,31
STATION_16,余额不足停止,待业务确认,31
STATION_17,余额不足停止,待业务确认,29
STATION_17,枪未正确连接/连接断开,待业务确认,29
STATION_08,屏幕手动停止,待业务确认,28
STATION_09,屏幕手动停止,待业务确认,28
STATION_07,等待接收车端BRM报文超时,待业务确认,27
STATION_01,等待接收车端BRM报文超时,待业务确认,26
STATION_13,等待接收车端BRM报文超时,待业务确认,26
STATION_16,BST车端主动停止(达到总电压),待业务确认,25
STATION_17,BST车端主动停止(达到总电压),待业务确认,25
STATION_16,等待接收车端BRM报文超时,待业务确认,24
STATION_10,余额不足停止,待业务确认,23
STATION_01,余额不足停止,待业务确认,22
STATION_06,枪未正确连接/连接断开,待业务确认,22
STATION_03,桩主动停止,待业务确认,21
STATION_07,达到桩端设置SOC阈值停止,待业务确认,21
STATION_09,BST充电连接器故障,待业务确认,21
STATION_13,BST其他异常,待业务确认,21
STATION_01,BST车端主动停止(达到总电压),待业务确认,20
STATION_04,BST充电连接器故障,待业务确认,20
STATION_07,余额不足停止,待业务确认,20
STATION_09,绝缘检测阻值低告警,待业务确认,20
STATION_12,等待接收车端BRM报文超时,待业务确认,20
STATION_17,等待接收车端BRM报文超时,待业务确认,20
STATION_11,等待接收车端BRM报文超时,待业务确认,19
STATION_13,余额不足停止,待业务确认,19
STATION_07,BST车端主动停止(达到总电压),待业务确认,18
STATION_19,BST车端主动停止(达到总电压),待业务确认,18
STATION_04,等待接收车端BRO[00]报文超时,待业务确认,17
STATION_08,桩主动停止,待业务确认,17
STATION_12,BST其他异常,待业务确认,17
STATION_12,枪未正确连接/连接断开,待业务确认,17
STATION_18,枪未正确连接/连接断开,待业务确认,17
STATION_03,充电板通讯故障,待业务确认,16
STATION_11,BST其他异常,待业务确认,16
STATION_11,余额不足停止,待业务确认,16
STATION_02,BST车端主动停止(达到总电压),待业务确认,15
STATION_02,余额不足停止,待业务确认,15
STATION_09,设备掉电非正常停止,待业务确认,15
STATION_10,等待接收车端BRM报文超时,待业务确认,15
STATION_06,BST其他异常,待业务确认,14
STATION_07,BST其他异常,待业务确认,14
STATION_18,桩主动停止,待业务确认,14
STATION_03,预充升压超时,待业务确认,13
STATION_04,充电板通讯故障,待业务确认,13
STATION_06,桩主动停止,待业务确认,13
STATION_09,桩主动停止,待业务确认,13
STATION_10,BST其他异常,待业务确认,13
STATION_10,达到桩端设置SOC阈值停止,待业务确认,13
STATION_15,等待接收车端BCL报文超时,待业务确认,13
STATION_07,枪未正确连接/连接断开,待业务确认,12
STATION_13,枪未正确连接/连接断开,待业务确认,12
STATION_15,等待接收车端BRO[00]报文超时,待业务确认,12
STATION_02,等待接收车端BRM报文超时,待业务确认,11
STATION_08,充电枪电子锁故障,待业务确认,11
STATION_08,等待接收车端BRO[AA]报文超时,待业务确认,11
STATION_15,BST电压过大,待业务确认,11
STATION_17,BST其他异常,待业务确认,11
STATION_17,桩主动停止,待业务确认,11
STATION_17,达到桩端设置SOC阈值停止,待业务确认,11
STATION_19,枪未正确连接/连接断开,待业务确认,11
STATION_03,等待接收车端BRO[00]报文超时,待业务确认,10
STATION_08,BST检测点2电压故障,待业务确认,10
STATION_09,绝缘检测时未检测到电压,待业务确认,10
STATION_12,启动中/运行中/停止中不允许启动,待业务确认,10
STATION_13,桩主动停止,待业务确认,10
STATION_16,桩端急停按钮被按下,待业务确认,10
STATION_16,达到桩端设置SOC阈值停止,待业务确认,10
STATION_19,余额不足停止,待业务确认,10
STATION_19,桩主动停止,待业务确认,10
STATION_01,达到桩端设置SOC阈值停止,待业务确认,9
STATION_02,枪未正确连接/连接断开,待业务确认,9
STATION_10,桩端急停按钮被按下,待业务确认,9
STATION_11,达到桩端设置SOC阈值停止,待业务确认,9
STATION_14,达到桩端设置SOC阈值停止,待业务确认,9
STATION_16,BST其他异常,待业务确认,9
STATION_18,BST其他异常,待业务确认,9
STATION_18,桩端急停按钮被按下,待业务确认,9
STATION_19,BST其他异常,待业务确认,9
STATION_19,等待接收车端BRM报文超时,待业务确认,9
STATION_01,枪未正确连接/连接断开,待业务确认,8
STATION_01,桩主动停止,待业务确认,8
STATION_02,达到桩端设置SOC阈值停止,待业务确认,8
STATION_04,启动中/运行中/停止中不允许启动,待业务确认,8
STATION_06,等待接收车端BRM报文超时,待业务确认,8
STATION_09,主动防护:电压曲线抖动防护模型异常告警,待业务确认,8
STATION_09,等待接收车端BRO[00]报文超时,待业务确认,8
STATION_12,桩主动停止,待业务确认,8
STATION_04,预充升压超时,待业务确认,7
STATION_08,等待接收车端BRO[00]报文超时,待业务确认,7
STATION_08,设备掉电非正常停止,待业务确认,7
STATION_10,桩主动停止,待业务确认,7
STATION_17,启动中/运行中/停止中不允许启动,待业务确认,7
STATION_17,桩端急停按钮被按下,待业务确认,7
STATION_01,BST其他异常,待业务确认,6
STATION_02,桩主动停止,待业务确认,6
STATION_04,辅枪停止,待业务确认,6
STATION_05,APP/微信/平台停止,待业务确认,6
STATION_07,桩主动停止,待业务确认,6
STATION_09,充电枪电子锁故障,待业务确认,6
STATION_09,启动中/运行中/停止中不允许启动,待业务确认,6
STATION_09,等待接收车端BCL报文超时,待业务确认,6
STATION_09,车端已发BRO[AA]再发BRO[00],待业务确认,6
STATION_11,桩主动停止,待业务确认,6
STATION_14,BST车端主动停止(达到总电压),待业务确认,6
STATION_14,等待接收车端BRM报文超时,待业务确认,6
STATION_16,桩主动停止,待业务确认,6
STATION_18,启动中/运行中/停止中不允许启动,待业务确认,6
STATION_03,BST充电连接器故障,待业务确认,5
STATION_03,启动中/运行中/停止中不允许启动,待业务确认,5
STATION_05,BST车端主动停止(达到单体电压),待业务确认,5
STATION_08,充电板通讯故障,待业务确认,5
STATION_09,K1/K2继电器外侧电压大于10V,待业务确认,5
STATION_09,辅枪停止,待业务确认,5
STATION_11,BST充电连接器故障,待业务确认,5
STATION_11,桩端急停按钮被按下,待业务确认,5
STATION_12,等待接收车端BCS报文超时,待业务确认,5
STATION_15,BST检测点2电压故障,待业务确认,5
STATION_18,BEM中CRM[AA]超时中止,待业务确认,5
STATION_19,桩端急停按钮被按下,待业务确认,5
STATION_01,车端已发BRO[AA]再发BRO[00],待业务确认,4
STATION_02,启动中/运行中/停止中不允许启动,待业务确认,4
STATION_03,等待接收车端BRO[AA]报文超时,待业务确认,4
STATION_04,BEM中CRM[00]超时中止,待业务确认,4
STATION_04,充电设备产生有新充电订单,待业务确认,4
STATION_04,绝缘检测时未检测到电压,待业务确认,4
STATION_07,桩端急停按钮被按下,待业务确认,4
STATION_07,等待接收车端BRO[00]报文超时,待业务确认,4
STATION_08,等待接收车端BCL报文超时,待业务确认,4
STATION_08,绝缘检测时未检测到电压,待业务确认,4
STATION_09,充电板通讯故障,待业务确认,4
STATION_11,屏幕手动停止,待业务确认,4
STATION_12,屏幕手动停止,待业务确认,4
STATION_15,BEM中CRM[00]超时中止,待业务确认,4
STATION_17,屏幕手动停止,待业务确认,4
STATION_01,启动中/运行中/停止中不允许启动,待业务确认,3
STATION_01,桩端急停按钮被按下,待业务确认,3
STATION_01,等待接收车端BCL报文超时,待业务确认,3
STATION_01,等待接收车端BRO[00]报文超时,待业务确认,3
STATION_02,BST其他异常,待业务确认,3
STATION_03,电表数据异常,待业务确认,3
STATION_03,辅枪停止,待业务确认,3
STATION_04,等待接收车端BCL报文超时,待业务确认,3
STATION_04,等待接收车端BRO[AA]报文超时,待业务确认,3
STATION_06,桩端急停按钮被按下,待业务确认,3
STATION_06,等待接收车端BCL报文超时,待业务确认,3
STATION_06,等待接收车端BRO[00]报文超时,待业务确认,3
STATION_08,BST绝缘故障,待业务确认,3
STATION_08,K1/K2继电器外侧电压大于10V,待业务确认,3
STATION_08,预充升压超时,待业务确认,3
STATION_09,BEM中CSD超时中止,待业务确认,3
STATION_09,BST检测点2电压故障,待业务确认,3
STATION_09,等待接收车端BRO[AA]报文超时,待业务确认,3
STATION_11,等待接收车端BCL报文超时,待业务确认,3
STATION_12,BEM中CST超时中止,待业务确认,3
STATION_12,BST电池过温,待业务确认,3
STATION_12,桩端急停按钮被按下,待业务确认,3
STATION_12,等待接收车端BRO[00]报文超时,待业务确认,3
STATION_13,启动中/运行中/停止中不允许启动,待业务确认,3
STATION_14,BST其他异常,待业务确认,3
STATION_16,启动中/运行中/停止中不允许启动,待业务确认,3
STATION_16,屏幕手动停止,待业务确认,3
STATION_17,等待接收车端BRO[00]报文超时,待业务确认,3
STATION_19,启动中/运行中/停止中不允许启动,待业务确认,3
STATION_19,等待接收车端BRO[00]报文超时,待业务确认,3
STATION_01,BST高压继电器故障,待业务确认,2
STATION_02,桩端急停按钮被按下,待业务确认,2
STATION_03,充电设备产生有新充电订单,待业务确认,2
STATION_04,BEM中CRO超时中止,待业务确认,2
STATION_04,BST检测点2电压故障,待业务确认,2
STATION_04,BST高压继电器故障,待业务确认,2
STATION_04,审计:订单持续10分钟有电流电压但无电量停止,待业务确认,2
STATION_04,绝缘检测阻值低告警,待业务确认,2
STATION_06,BST充电连接器故障,待业务确认,2
STATION_06,屏幕手动停止,待业务确认,2
STATION_06,桩体柜门打开,待业务确认,2
STATION_07,等待接收车端BCL报文超时,待业务确认,2
STATION_08,BST充电连接器故障,待业务确认,2
STATION_08,BST电流过大,待业务确认,2
STATION_08,充电设备产生有新充电订单,待业务确认,2
STATION_08,启动中/运行中/停止中不允许启动,待业务确认,2
STATION_08,车端已发BRO[AA]再发BRO[00],待业务确认,2
STATION_08,车辆继电器开路保护,待业务确认,2
STATION_08,辅枪停止,待业务确认,2
STATION_09,BEM中CRO超时中止,待业务确认,2
STATION_09,BST高压继电器故障,待业务确认,2
STATION_09,电池极性反接故障,待业务确认,2
STATION_09,等待接收车端BCS报文超时,待业务确认,2
STATION_10,屏幕手动停止,待业务确认,2
STATION_10,电表数据异常,待业务确认,2
STATION_10,等待接收车端BCL报文超时,待业务确认,2
STATION_11,启动中/运行中/停止中不允许启动,待业务确认,2
STATION_12,等待接收车端BCL报文超时,待业务确认,2
STATION_12,设备掉电非正常停止,待业务确认,2
STATION_13,桩端急停按钮被按下,待业务确认,2
STATION_13,等待接收车端BRO[00]报文超时,待业务确认,2
STATION_14,桩端急停按钮被按下,待业务确认,2
STATION_15,桩主动停止,待业务确认,2
STATION_15,电池极性反接故障,待业务确认,2
STATION_15,车辆继电器开路保护,待业务确认,2
STATION_16,等待接收车端BRO[00]报文超时,待业务确认,2
STATION_17,BST充电连接器故障,待业务确认,2
STATION_18,BST充电连接器故障,待业务确认,2
STATION_18,与平台通讯中断停止,待业务确认,2
STATION_18,设备掉电非正常停止,待业务确认,2
STATION_19,BEM中CST超时中止,待业务确认,2
STATION_19,BST高压继电器故障,待业务确认,2
STATION_01,BEM中CSD超时中止,待业务确认,1
STATION_01,BEM其他原因中止,待业务确认,1
STATION_01,BST检测点2电压故障,待业务确认,1
STATION_01,屏幕手动停止,待业务确认,1
STATION_02,BST充电连接器故障,待业务确认,1
STATION_02,与平台通讯中断停止,待业务确认,1
STATION_02,等待接收车端BCL报文超时,待业务确认,1
STATION_02,等待接收车端BRO[00]报文超时,待业务确认,1
STATION_03,BEM中CSD超时中止,待业务确认,1
STATION_03,BST检测点2电压故障,待业务确认,1
STATION_03,BST电流过大,待业务确认,1
STATION_04,BEM中CSD超时中止,待业务确认,1
STATION_04,与平台通讯中断停止,待业务确认,1
STATION_04,功率板通讯故障,待业务确认,1
STATION_04,车端已发BRO[AA]再发BRO[00],待业务确认,1
STATION_04,车辆继电器开路保护,待业务确认,1
STATION_04,锁枪异常,待业务确认,1
STATION_05,BST车端主动停止,待业务确认,1
STATION_05,BST车端主动停止(达到总电压),待业务确认,1
STATION_05,枪未正确连接/连接断开,待业务确认,1
STATION_06,BEM中CRM[00]超时中止,待业务确认,1
STATION_06,车端已发BRO[AA]再发BRO[00],待业务确认,1
STATION_07,BEM中CSD超时中止,待业务确认,1
STATION_07,BST充电连接器故障,待业务确认,1
STATION_07,后台下发指令停止充电,待业务确认,1
STATION_07,启动中/运行中/停止中不允许启动,待业务确认,1
STATION_07,屏幕手动停止,待业务确认,1
STATION_07,等待接收车端BCS报文超时,待业务确认,1
STATION_07,车辆继电器开路保护,待业务确认,1
STATION_08,BEM中CSD超时中止,待业务确认,1
STATION_08,BST电压过大,待业务确认,1
STATION_08,PDU12通讯故障,待业务确认,1
STATION_08,PDU6通讯故障,待业务确认,1
STATION_08,VIN码在线鉴权失败,待业务确认,1
STATION_08,与平台通讯中断停止,待业务确认,1
STATION_08,主动防护:重点车型SOC达到限制值,待业务确认,1
STATION_09,BST绝缘故障,待业务确认,1
STATION_09,与平台通讯中断停止,待业务确认,1
STATION_09,主动防护:电流曲线抖动防护模型异常告警,待业务确认,1
STATION_09,交流电表通讯故障,待业务确认,1
STATION_09,审计:订单持续10分钟有电流电压但无电量停止,待业务确认,1
STATION_09,平台侧强制停止订单,待业务确认,1
STATION_09,桩体柜门打开,待业务确认,1
STATION_09,等待接收车端BCP报文超时,待业务确认,1
STATION_09,预充升压超时,待业务确认,1
STATION_10,BST充电连接器故障,待业务确认,1
STATION_10,启动中/运行中/停止中不允许启动,待业务确认,1
STATION_10,等待接收车端BRO[00]报文超时,待业务确认,1
STATION_10,车端已发BRO[AA]再发BRO[00],待业务确认,1
STATION_11,K1/K2继电器外侧电压大于10V,待业务确认,1
STATION_11,VIN码在线鉴权失败,待业务确认,1
STATION_11,与平台通讯中断停止,待业务确认,1
STATION_11,电表数据异常,待业务确认,1
STATION_11,等待接收车端BCP报文超时,待业务确认,1
STATION_11,等待接收车端BCS报文超时,待业务确认,1
STATION_11,等待接收车端BRO[00]报文超时,待业务确认,1
STATION_11,车端已发BRO[AA]再发BRO[00],待业务确认,1
STATION_12,BST电流过大,待业务确认,1
STATION_12,与平台通讯中断停止,待业务确认,1
STATION_12,充电模块绝缘升压超时,待业务确认,1
STATION_13,BEM中CCS超时中止,待业务确认,1
STATION_13,BEM中CML/CTS超时中止,待业务确认,1
STATION_13,屏幕手动停止,待业务确认,1
STATION_13,等待接收车端BCS报文超时,待业务确认,1
STATION_13,车辆继电器开路保护,待业务确认,1
STATION_14,等待接收车端BCL报文超时,待业务确认,1
STATION_14,等待接收车端BRO[00]报文超时,待业务确认,1
STATION_15,BEM中CSD超时中止,待业务确认,1
STATION_15,BEM中CST超时中止,待业务确认,1
STATION_15,BST电流过大,待业务确认,1
STATION_15,BST高压继电器故障,待业务确认,1
STATION_15,K1/K2继电器外侧电压大于10V,待业务确认,1
STATION_15,后台下发指令停止充电,待业务确认,1
STATION_15,启动中/运行中/停止中不允许启动,待业务确认,1
STATION_15,等待接收车端BCP报文超时,待业务确认,1
STATION_15,等待接收车端BCS报文超时,待业务确认,1
STATION_16,BEM中CSD超时中止,待业务确认,1
STATION_16,与平台通讯中断停止,待业务确认,1
STATION_16,等待接收车端BCL报文超时,待业务确认,1
STATION_18,BST高压继电器故障,待业务确认,1
STATION_18,屏幕手动停止,待业务确认,1
STATION_18,平台侧强制停止订单,待业务确认,1
STATION_18,等待接收车端BCL报文超时,待业务确认,1
STATION_18,等待接收车端BCS报文超时,待业务确认,1
STATION_19,BEM中CRM[00]超时中止,待业务确认,1
STATION_19,等待接收车端BCL报文超时,待业务确认,1
STATION_19,等待接收车端BCP报文超时,待业务确认,1
STATION_19,设备掉电非正常停止,待业务确认,1
