anonymous_user_id,order_count,charging_kwh,amount_paid,first_charge_date,last_charge_date,active_days,active_months
ANON_USER_08757,49,1078.256,1069.73,2024-07-19,2025-01-06,39,7
ANON_USER_13660,49,1530.213,1539.21,2024-07-28,2025-01-06,44,7
ANON_USER_02041,48,1691.921,1706.9,2024-08-19,2025-01-06,44,6
ANON_USER_12417,48,1044.208,1072.51,2024-07-18,2025-01-06,42,7
ANON_USER_01973,47,2183.509,2146.76,2024-07-30,2025-01-04,41,6
ANON_USER_11850,47,806.1,811.37,2024-07-15,2025-01-06,40,7
ANON_USER_15076,47,5482.222,5343.61,2024-09-20,2025-01-06,36,5
ANON_USER_15118,47,6849.507,6822.99,2024-09-11,2024-12-12,24,4
ANON_USER_03304,46,1078.867,547.36,2024-12-06,2025-01-05,28,2
ANON_USER_19197,46,903.838,861.16,2024-08-02,2025-01-06,38,6
ANON_USER_13896,45,1969.204,1938.38,2024-07-26,2024-12-03,40,6
ANON_USER_01661,44,4818.741,4981.29,2024-10-08,2025-01-04,35,4
ANON_USER_04160,44,1158.606,655.84,2024-07-22,2025-01-06,32,4
ANON_USER_06159,44,8216.441,7803.77,2024-09-19,2024-12-25,30,4
ANON_USER_01667,43,830.353,803.56,2024-09-03,2024-12-24,23,4
ANON_USER_15690,43,909.6,866.13,2024-07-13,2025-01-04,38,7
ANON_USER_00471,42,1311.848,1171.14,2024-09-15,2025-01-04,31,5
ANON_USER_07724,42,2638.957,1789.77,2024-08-23,2025-01-06,37,5
ANON_USER_15413,42,938.671,939.27,2024-07-23,2024-12-27,39,6
ANON_USER_18344,42,1303.061,1314.49,2024-07-30,2024-11-28,36,5
ANON_USER_18720,42,1581.33,844.01,2024-11-20,2025-01-06,34,3
ANON_USER_07392,41,937.523,943.7,2024-08-26,2025-01-06,36,6
ANON_USER_07768,41,589.055,587.58,2024-07-13,2024-09-13,35,3
ANON_USER_08998,41,1098.087,1105.29,2024-07-13,2025-01-01,35,7
ANON_USER_19601,41,4725.867,4657.16,2024-09-08,2024-12-27,31,4
ANON_USER_19611,41,492.058,504.6,2024-07-15,2024-12-19,37,6
ANON_USER_00187,40,1747.918,1761.55,2024-08-19,2025-01-05,35,6
ANON_USER_13111,40,3076.976,2978.26,2024-10-14,2025-01-05,32,4
ANON_USER_14518,40,9659.057,9161.32,2024-09-11,2024-12-25,30,4
ANON_USER_11830,39,4713.444,4400.79,2024-09-08,2025-01-06,29,5
ANON_USER_13747,39,2094.646,2125.52,2024-08-30,2025-01-06,36,6
ANON_USER_20915,39,376.099,374.5,2024-08-21,2025-01-04,27,6
ANON_USER_01189,38,1211.202,624.62,2024-12-03,2025-01-06,33,2
ANON_USER_12851,38,1295.782,1319.85,2024-08-06,2024-12-14,34,5
ANON_USER_21749,38,384.431,383.76,2024-09-14,2024-12-28,32,4
ANON_USER_04176,37,3347.949,2973.6,2024-09-23,2024-11-22,20,3
ANON_USER_08526,37,284.481,287.17,2024-08-22,2024-12-24,30,5
ANON_USER_10494,37,656.764,434.46,2024-10-29,2025-01-06,26,4
ANON_USER_06407,36,6979.791,6961.32,2024-10-09,2024-12-23,22,3
ANON_USER_10393,36,2843.987,2777.22,2024-08-07,2025-01-05,33,6
ANON_USER_15442,36,1111.999,1111.68,2024-08-13,2025-01-02,30,6
ANON_USER_19422,36,1258.195,636.27,2024-12-03,2025-01-05,28,2
ANON_USER_00403,35,795.612,448.66,2024-10-29,2025-01-05,27,4
ANON_USER_02243,35,418.048,269.73,2024-12-01,2025-01-06,24,2
ANON_USER_02380,35,980.09,953.55,2024-11-10,2025-01-06,25,3
ANON_USER_06778,35,460.146,258.57,2024-12-13,2025-01-06,20,2
ANON_USER_10952,35,674.515,636.52,2024-08-11,2024-12-22,20,5
ANON_USER_13643,35,717.97,734.6,2024-08-14,2025-01-06,35,5
ANON_USER_14523,35,717.867,722.56,2024-07-19,2024-12-24,33,6
ANON_USER_14529,35,574.659,476.02,2024-07-15,2025-01-06,35,7
ANON_USER_19268,35,1185.264,1191.77,2024-08-02,2025-01-06,34,6
ANON_USER_21949,35,1148.411,583.43,2024-12-02,2025-01-05,28,2
ANON_USER_03988,34,1830.479,1880.83,2024-10-03,2025-01-05,30,4
ANON_USER_07014,34,1681.87,1496.8,2024-11-21,2025-01-05,10,3
ANON_USER_14161,34,458.261,274.59,2024-12-06,2025-01-05,24,2
ANON_USER_14517,34,3150.538,3023.57,2024-10-13,2025-01-05,27,4
ANON_USER_21682,34,1250.923,1209.8,2024-08-15,2024-11-04,25,4
ANON_USER_01103,33,713.092,675.67,2024-09-02,2025-01-02,17,5
ANON_USER_02993,33,479.838,324.39,2024-10-21,2025-01-06,30,4
ANON_USER_06286,33,677.7,660.99,2024-07-28,2025-01-01,31,5
ANON_USER_15645,33,1138.674,1115.17,2024-08-15,2024-10-17,19,3
ANON_USER_17801,33,1688.072,1660.93,2024-10-04,2025-01-01,21,4
ANON_USER_05119,32,1514.835,1390.29,2024-07-31,2025-01-04,30,7
ANON_USER_05518,32,579.046,565.58,2024-08-03,2024-10-30,29,3
ANON_USER_09049,32,429.973,312.18,2024-10-17,2025-01-06,32,4
ANON_USER_09313,32,883.127,429.65,2024-12-07,2025-01-04,25,2
ANON_USER_09881,32,490.222,467.19,2024-07-31,2024-12-17,29,6
ANON_USER_10668,32,842.53,537.8,2024-10-23,2025-01-05,32,4
ANON_USER_11933,32,1015.063,1024.19,2024-07-22,2024-12-30,28,6
ANON_USER_18377,32,1291.148,1354.32,2024-08-30,2025-01-06,32,6
ANON_USER_21915,32,2604.542,2400.52,2024-11-21,2024-12-28,16,2
ANON_USER_00111,31,716.021,700.72,2024-08-28,2025-01-02,30,6
ANON_USER_00946,31,632.314,626.33,2024-07-18,2025-01-06,29,7
ANON_USER_04408,31,903.732,894.68,2024-07-31,2024-12-24,27,6
ANON_USER_09036,31,1686.085,1507.89,2024-10-27,2025-01-01,21,4
ANON_USER_13627,31,935.711,928.44,2024-07-16,2024-11-23,28,5
ANON_USER_14907,31,793.206,793.04,2024-08-17,2024-12-27,22,5
ANON_USER_16045,31,749.464,708.81,2024-08-28,2025-01-03,29,6
ANON_USER_16125,31,400.796,289.25,2024-10-26,2024-12-23,21,3
ANON_USER_16775,31,1175.993,1138.98,2024-08-05,2024-12-25,25,5
ANON_USER_02668,30,1015.011,964.12,2024-08-08,2024-12-20,30,5
ANON_USER_04697,30,1172.022,1177.03,2024-08-15,2024-12-31,28,5
ANON_USER_07373,30,246.643,257.57,2024-10-22,2025-01-06,29,4
ANON_USER_07983,30,528.533,566.22,2024-09-12,2024-12-23,25,4
ANON_USER_13713,30,989.22,663.07,2024-11-17,2025-01-05,28,3
ANON_USER_15206,30,961.292,986.61,2024-07-20,2025-01-03,26,7
ANON_USER_20668,30,466.332,468.26,2024-08-30,2024-12-07,15,5
ANON_USER_01578,29,387.9,374.3,2024-07-14,2025-01-03,28,7
ANON_USER_05340,29,143.854,143.98,2024-08-06,2025-01-04,26,5
ANON_USER_05757,29,367.757,283.52,2024-10-23,2024-12-30,29,3
ANON_USER_07812,29,971.609,493.77,2024-12-02,2024-12-31,20,1
ANON_USER_11202,29,271.003,161.53,2024-12-07,2025-01-03,14,2
ANON_USER_11780,29,366.888,234.99,2024-12-02,2025-01-06,25,2
ANON_USER_13955,29,1308.662,1292.02,2024-09-12,2025-01-05,27,5
ANON_USER_16382,29,968.892,1011.26,2024-10-11,2025-01-03,28,4
ANON_USER_20127,29,502.373,342.63,2024-10-25,2025-01-03,23,4
ANON_USER_20281,29,1212.82,860.02,2024-11-02,2025-01-05,27,3
ANON_USER_02493,28,736.004,731.66,2024-09-06,2024-12-30,26,4
ANON_USER_06752,28,747.203,732.14,2024-08-11,2025-01-04,26,6
ANON_USER_07658,28,2294.69,2193.0,2024-10-01,2025-01-06,25,4
ANON_USER_09363,28,677.751,644.93,2024-08-18,2025-01-01,23,6
ANON_USER_10692,28,688.907,668.84,2024-07-15,2024-12-11,25,6
ANON_USER_12089,28,310.918,164.62,2024-12-10,2024-12-24,13,1
ANON_USER_13125,28,318.995,338.17,2024-09-14,2025-01-06,28,5
ANON_USER_14066,28,1115.459,687.94,2024-11-25,2025-01-04,25,3
ANON_USER_15693,28,1170.346,1169.51,2024-08-03,2024-12-25,24,5
ANON_USER_16708,28,1830.426,1735.32,2024-11-24,2024-12-12,14,2
ANON_USER_17325,28,2846.325,2868.27,2024-10-16,2025-01-05,16,4
ANON_USER_20533,28,807.72,802.03,2024-07-22,2024-12-09,19,6
ANON_USER_22156,28,491.161,501.27,2024-07-30,2024-12-30,24,6
ANON_USER_03572,27,374.737,255.05,2024-10-26,2025-01-06,25,4
ANON_USER_04610,27,384.343,285.12,2024-10-18,2025-01-05,27,4
ANON_USER_09004,27,1551.858,1585.04,2024-11-25,2025-01-05,15,3
ANON_USER_10479,27,946.908,540.69,2024-12-03,2025-01-06,26,2
ANON_USER_15548,27,2813.845,2705.31,2024-10-11,2025-01-02,15,4
ANON_USER_15584,27,3602.922,3542.35,2024-09-06,2024-12-27,25,4
ANON_USER_16179,27,1244.758,1199.14,2024-08-11,2024-12-27,24,5
ANON_USER_20167,27,726.575,408.28,2024-12-03,2025-01-05,23,2
ANON_USER_04513,26,316.284,339.1,2024-10-27,2025-01-06,20,4
ANON_USER_07857,26,1142.241,559.53,2024-12-01,2025-01-06,23,2
ANON_USER_13273,26,712.624,742.65,2024-09-19,2024-12-28,21,4
ANON_USER_13767,26,2029.037,1981.13,2024-09-10,2024-10-20,7,2
ANON_USER_14848,26,853.042,568.37,2024-11-04,2025-01-06,26,3
ANON_USER_16955,26,328.215,241.54,2024-10-27,2025-01-05,25,4
ANON_USER_17843,26,494.084,519.22,2024-11-01,2025-01-04,22,3
ANON_USER_20239,26,491.847,520.45,2024-10-20,2025-01-06,23,4
ANON_USER_03464,25,405.034,425.42,2024-07-16,2024-12-28,21,6
ANON_USER_06092,25,789.406,784.07,2024-08-13,2024-12-21,24,5
ANON_USER_06990,25,898.646,917.99,2024-08-13,2025-01-04,23,6
ANON_USER_07352,25,539.456,533.2,2024-08-16,2024-11-20,20,4
ANON_USER_08678,25,3365.392,3291.61,2024-09-10,2024-10-26,11,2
ANON_USER_09069,25,246.656,256.16,2024-10-02,2024-12-28,23,3
ANON_USER_09426,25,534.556,553.9,2024-08-10,2024-12-22,19,5
ANON_USER_12120,25,318.459,329.7,2024-08-06,2025-01-05,25,6
ANON_USER_12678,25,518.978,530.77,2024-10-06,2024-12-19,21,3
ANON_USER_16275,25,657.33,340.08,2024-12-06,2025-01-06,18,2
ANON_USER_21965,25,375.71,373.25,2024-09-02,2024-12-25,22,4
ANON_USER_00870,24,1695.144,1645.1,2024-10-01,2024-11-24,20,2
ANON_USER_01139,24,5582.974,5425.14,2024-10-09,2024-11-20,18,2
ANON_USER_02595,24,1780.682,1674.94,2024-11-21,2024-12-11,13,2
ANON_USER_03717,24,134.182,139.45,2024-08-12,2025-01-04,23,6
ANON_USER_05032,24,583.377,569.63,2024-09-05,2024-12-31,22,4
ANON_USER_07151,24,1391.478,1253.53,2024-08-27,2025-01-02,22,6
ANON_USER_08654,24,779.999,755.34,2024-07-21,2025-01-06,21,7
ANON_USER_10652,24,733.155,734.64,2024-07-23,2024-12-25,21,5
ANON_USER_11734,24,1740.732,1642.9,2024-09-10,2024-10-25,13,2
ANON_USER_13130,24,819.428,389.46,2024-12-03,2025-01-06,22,2
ANON_USER_15826,24,742.813,433.55,2024-10-27,2025-01-05,24,4
ANON_USER_21303,24,1291.618,1245.33,2024-11-23,2024-12-10,13,2
ANON_USER_00852,23,989.102,994.91,2024-08-12,2025-01-05,21,6
ANON_USER_04657,23,679.572,375.4,2024-12-02,2025-01-06,19,2
ANON_USER_08183,23,573.947,592.94,2024-08-14,2024-12-16,16,4
ANON_USER_08274,23,363.392,372.36,2024-08-13,2025-01-02,23,6
ANON_USER_08872,23,465.215,459.5,2024-08-11,2024-12-27,16,5
ANON_USER_11758,23,609.255,619.93,2024-07-15,2025-01-01,19,7
ANON_USER_12405,23,252.821,253.4,2024-09-22,2024-11-20,7,3
ANON_USER_14032,23,554.945,574.02,2024-10-05,2024-12-30,14,3
ANON_USER_15231,23,482.46,233.32,2024-12-01,2025-01-03,16,2
ANON_USER_16092,23,1136.459,1103.53,2024-07-17,2025-01-01,15,6
ANON_USER_18264,23,595.455,531.37,2024-10-26,2025-01-06,11,4
ANON_USER_18385,23,423.64,327.28,2024-08-24,2025-01-02,21,6
ANON_USER_21770,23,1272.436,1293.84,2024-10-24,2025-01-05,13,4
ANON_USER_01416,22,1064.157,1094.6,2024-11-12,2025-01-01,19,3
ANON_USER_06648,22,817.72,536.69,2024-12-04,2025-01-06,22,2
ANON_USER_07510,22,711.664,685.13,2024-10-01,2024-12-22,20,3
ANON_USER_07520,22,926.937,919.44,2024-08-22,2024-12-22,19,5
ANON_USER_07535,22,372.136,238.25,2024-11-08,2025-01-04,19,3
ANON_USER_08484,22,966.713,961.27,2024-07-26,2024-12-06,15,6
ANON_USER_10713,22,689.178,631.83,2024-09-24,2024-12-10,17,4
ANON_USER_11640,22,390.835,263.44,2024-11-17,2025-01-04,19,3
ANON_USER_13911,22,742.229,740.34,2024-07-14,2025-01-04,18,6
ANON_USER_16721,22,2951.794,3037.2,2024-11-04,2024-11-18,8,1
ANON_USER_17534,22,602.786,603.42,2024-08-30,2024-12-31,20,5
ANON_USER_19603,22,2026.589,1950.76,2024-09-20,2024-12-04,17,4
ANON_USER_19683,22,513.412,516.78,2024-07-18,2025-01-04,17,6
ANON_USER_20143,22,587.811,600.36,2024-08-10,2025-01-03,21,6
ANON_USER_21094,22,341.395,345.42,2024-07-13,2024-09-03,14,3
ANON_USER_21222,22,695.268,356.31,2024-12-12,2025-01-05,17,2
ANON_USER_00191,21,331.067,251.36,2024-10-17,2025-01-05,21,4
ANON_USER_02055,21,298.682,286.69,2024-07-13,2024-12-28,19,6
ANON_USER_02997,21,322.535,213.66,2024-12-04,2025-01-06,19,2
ANON_USER_03253,21,741.884,646.3,2024-11-06,2025-01-04,15,3
ANON_USER_03651,21,2161.454,2051.69,2024-09-09,2024-12-07,16,4
ANON_USER_04729,21,571.4,330.67,2024-12-05,2025-01-05,17,2
ANON_USER_05452,21,642.568,317.92,2024-12-07,2025-01-06,20,2
ANON_USER_10012,21,917.466,919.65,2024-08-01,2024-11-23,16,4
ANON_USER_10453,21,369.785,353.22,2024-08-06,2024-12-24,16,5
ANON_USER_10470,21,689.591,711.2,2024-08-26,2025-01-02,21,6
ANON_USER_10852,21,282.56,271.46,2024-07-26,2024-12-28,21,6
ANON_USER_11568,21,364.537,246.37,2024-12-02,2025-01-02,21,2
ANON_USER_11719,21,384.527,192.97,2024-10-05,2025-01-03,18,3
ANON_USER_11921,21,576.53,565.0,2024-08-13,2024-10-23,16,3
ANON_USER_13300,21,1220.21,1298.13,2024-09-29,2025-01-03,12,5
ANON_USER_13861,21,324.142,249.14,2024-10-19,2025-01-05,21,4
ANON_USER_15564,21,808.415,413.7,2024-12-01,2025-01-04,19,2
ANON_USER_16414,21,547.819,437.34,2024-10-26,2024-11-30,17,2
ANON_USER_17307,21,720.998,714.74,2024-07-31,2024-12-29,16,6
ANON_USER_17400,21,635.771,567.89,2024-07-25,2025-01-03,16,7
ANON_USER_19346,21,440.968,246.77,2024-11-15,2024-12-30,20,2
ANON_USER_19373,21,656.349,704.75,2024-08-09,2024-12-29,18,4
ANON_USER_20818,21,273.612,261.86,2024-07-20,2024-12-09,21,6
ANON_USER_20916,21,807.463,486.88,2024-12-13,2025-01-04,18,2
ANON_USER_21284,21,623.738,589.77,2024-08-17,2024-12-28,15,5
ANON_USER_00812,20,113.632,115.57,2024-08-18,2025-01-05,10,5
ANON_USER_02489,20,354.818,368.4,2024-07-26,2025-01-05,19,6
ANON_USER_03867,20,236.862,246.67,2024-08-04,2024-12-26,20,5
ANON_USER_04943,20,655.994,429.29,2024-12-05,2025-01-05,18,2
ANON_USER_05068,20,363.334,233.75,2024-12-01,2025-01-04,13,2
ANON_USER_05685,20,2282.943,2237.32,2024-09-11,2024-10-30,7,2
ANON_USER_07624,20,762.25,770.84,2024-09-08,2024-11-26,5,2
ANON_USER_08009,20,293.662,238.54,2024-10-17,2024-12-31,17,3
ANON_USER_08489,20,601.123,328.26,2024-12-11,2025-01-04,16,2
ANON_USER_11496,20,519.516,527.41,2024-08-13,2024-12-28,19,5
ANON_USER_13178,20,659.06,378.86,2024-11-10,2025-01-02,19,3
ANON_USER_13602,20,232.055,229.98,2024-08-20,2024-11-24,7,3
ANON_USER_14680,20,205.536,205.82,2024-07-17,2024-11-16,18,5
ANON_USER_15303,20,842.146,407.87,2024-12-12,2025-01-02,18,2
ANON_USER_18006,20,127.905,123.89,2024-07-29,2024-12-09,18,5
ANON_USER_19793,20,494.469,503.6,2024-07-19,2024-12-26,20,6
ANON_USER_19912,20,338.005,187.45,2024-11-29,2025-01-06,17,3
ANON_USER_00800,19,329.603,316.07,2024-10-25,2024-12-26,17,3
ANON_USER_02479,19,553.233,518.08,2024-08-03,2024-11-21,16,4
ANON_USER_02645,19,176.793,174.84,2024-09-21,2024-11-07,16,3
ANON_USER_04364,19,629.315,486.11,2024-10-26,2024-11-30,17,2
ANON_USER_05428,19,330.553,336.21,2024-07-13,2025-01-06,18,7
ANON_USER_06494,19,232.764,195.36,2024-09-13,2025-01-02,17,5
ANON_USER_06521,19,536.01,535.41,2024-07-31,2025-01-05,19,6
ANON_USER_07737,19,557.794,560.83,2024-08-24,2024-12-30,18,5
ANON_USER_08467,19,827.608,786.47,2024-09-12,2025-01-02,18,5
ANON_USER_08518,19,390.289,214.83,2024-12-11,2025-01-06,16,2
ANON_USER_08841,19,1104.318,1142.51,2024-07-15,2024-12-30,18,6
ANON_USER_09451,19,835.074,887.72,2024-07-27,2024-12-31,16,4
ANON_USER_09896,19,1015.67,920.14,2024-11-21,2025-01-05,8,3
ANON_USER_11809,19,924.212,916.65,2024-07-27,2024-11-18,19,5
ANON_USER_13729,19,186.44,191.39,2024-08-30,2024-12-31,16,5
ANON_USER_14687,19,584.466,357.5,2024-12-13,2025-01-06,19,2
ANON_USER_17513,19,562.541,280.77,2024-12-11,2025-01-06,18,2
ANON_USER_19320,19,571.348,587.43,2024-09-09,2024-11-20,16,3
ANON_USER_19591,19,182.969,190.02,2024-07-15,2024-12-19,17,6
ANON_USER_21946,19,399.375,404.81,2024-08-11,2025-01-04,19,6
ANON_USER_01495,18,235.86,240.05,2024-08-31,2024-12-30,18,5
ANON_USER_02277,18,665.409,670.96,2024-08-10,2025-01-02,18,6
ANON_USER_02979,18,262.672,145.83,2024-12-09,2025-01-06,14,2
ANON_USER_03666,18,482.398,243.85,2024-12-13,2025-01-04,16,2
ANON_USER_04447,18,476.075,443.28,2024-07-30,2025-01-05,13,6
ANON_USER_06514,18,742.535,763.08,2024-09-05,2024-12-31,13,4
ANON_USER_06839,18,522.465,533.12,2024-07-30,2024-12-29,17,6
ANON_USER_08430,18,375.524,235.27,2024-12-08,2025-01-06,13,2
ANON_USER_09133,18,517.006,269.33,2024-12-01,2025-01-05,16,2
ANON_USER_10688,18,135.729,82.28,2024-09-01,2025-01-05,16,3
ANON_USER_12099,18,1710.842,1527.92,2024-10-13,2024-12-12,14,3
ANON_USER_12364,18,299.609,214.37,2024-10-21,2025-01-04,18,4
ANON_USER_12631,18,1022.25,990.98,2024-10-16,2024-12-25,16,3
ANON_USER_15068,18,112.781,105.29,2024-09-28,2024-12-26,3,2
ANON_USER_17342,18,846.451,852.58,2024-08-19,2024-12-25,18,5
ANON_USER_17622,18,2381.303,2241.77,2024-09-12,2024-11-07,8,3
ANON_USER_17895,18,399.117,400.01,2024-08-12,2025-01-05,17,6
ANON_USER_19897,18,172.228,172.92,2024-08-08,2024-12-18,16,5
ANON_USER_21196,18,655.566,633.14,2024-08-07,2024-12-31,17,5
ANON_USER_21920,18,231.592,181.93,2024-11-03,2024-12-19,17,2
ANON_USER_22063,18,694.569,687.39,2024-08-10,2025-01-05,17,6
ANON_USER_00468,17,420.708,413.93,2024-08-24,2024-12-21,15,5
ANON_USER_01169,17,474.35,490.28,2024-07-16,2024-12-30,17,5
ANON_USER_01197,17,401.563,389.11,2024-07-15,2024-12-17,15,6
ANON_USER_01377,17,629.41,585.67,2024-07-28,2024-11-21,15,5
ANON_USER_02101,17,473.803,464.33,2024-08-03,2024-10-27,12,3
ANON_USER_02211,17,260.698,160.36,2024-12-16,2025-01-06,15,2
ANON_USER_02279,17,202.564,138.74,2024-10-22,2025-01-01,14,4
ANON_USER_03112,17,810.973,817.46,2024-09-17,2024-12-22,13,4
ANON_USER_03701,17,490.085,523.43,2024-09-12,2025-01-06,12,4
ANON_USER_05944,17,443.231,435.33,2024-08-02,2025-01-06,14,6
ANON_USER_06076,17,281.352,172.33,2024-12-07,2025-01-01,12,2
ANON_USER_06593,17,408.917,366.38,2024-09-27,2024-12-20,10,3
ANON_USER_07139,17,394.323,339.27,2024-08-23,2025-01-03,15,6
ANON_USER_07217,17,547.861,558.95,2024-07-15,2024-12-28,16,6
ANON_USER_08334,17,418.492,437.29,2024-08-19,2024-12-29,14,4
ANON_USER_08761,17,807.287,540.28,2024-08-24,2025-01-02,15,5
ANON_USER_09440,17,170.25,166.21,2024-07-27,2024-12-23,14,6
ANON_USER_10351,17,695.595,369.15,2024-12-10,2025-01-05,14,2
ANON_USER_10385,17,187.741,160.23,2024-08-17,2025-01-05,15,6
ANON_USER_11043,17,620.225,642.65,2024-08-03,2025-01-06,16,5
ANON_USER_11198,17,3133.163,3099.9,2024-09-11,2024-11-05,11,3
ANON_USER_11452,17,304.967,308.29,2024-08-11,2025-01-06,15,6
ANON_USER_11721,17,137.258,137.45,2024-08-04,2024-12-27,15,4
ANON_USER_11935,17,688.808,679.0,2024-10-23,2025-01-02,16,4
ANON_USER_14789,17,420.235,268.1,2024-12-03,2025-01-06,14,2
ANON_USER_16135,17,243.812,162.96,2024-11-29,2025-01-06,17,3
ANON_USER_17740,17,765.628,423.31,2024-12-01,2025-01-05,16,2
ANON_USER_17784,17,513.522,529.56,2024-07-25,2024-12-31,16,6
ANON_USER_18239,17,829.838,813.25,2024-07-27,2024-10-06,14,4
ANON_USER_18760,17,479.715,449.36,2024-08-31,2025-01-05,16,6
ANON_USER_19562,17,361.74,375.29,2024-09-01,2024-12-28,12,4
ANON_USER_20159,17,347.483,221.35,2024-12-10,2025-01-06,16,2
ANON_USER_21033,17,125.66,77.36,2024-10-21,2025-01-06,15,4
ANON_USER_21550,17,726.282,727.37,2024-07-21,2024-12-10,16,6
ANON_USER_00153,16,405.66,399.71,2024-08-06,2024-11-10,11,4
ANON_USER_01025,16,410.767,420.54,2024-08-06,2024-12-30,16,5
ANON_USER_01345,16,565.262,357.07,2024-12-08,2025-01-03,14,2
ANON_USER_01813,16,609.468,598.82,2024-08-20,2025-01-04,15,6
ANON_USER_02452,16,462.319,461.23,2024-08-31,2024-12-27,16,5
ANON_USER_04399,16,192.135,138.7,2024-10-22,2025-01-01,16,4
ANON_USER_04460,16,512.561,520.39,2024-07-30,2024-12-25,12,6
ANON_USER_04476,16,415.907,218.73,2024-12-01,2025-01-03,15,2
ANON_USER_09949,16,112.658,117.18,2024-08-21,2025-01-04,16,6
ANON_USER_10264,16,385.077,386.78,2024-08-27,2024-11-19,14,4
ANON_USER_10317,16,527.148,477.8,2024-09-01,2024-12-15,11,4
ANON_USER_10568,16,706.636,718.8,2024-08-20,2024-12-24,14,5
ANON_USER_11393,16,346.459,197.17,2024-12-13,2025-01-05,16,2
ANON_USER_12612,16,560.916,559.22,2024-08-17,2024-12-23,12,5
ANON_USER_12982,16,129.19,129.07,2024-09-30,2024-11-07,16,3
ANON_USER_13103,16,140.034,139.55,2024-08-19,2025-01-06,16,6
ANON_USER_13177,16,338.507,292.77,2024-08-03,2025-01-02,15,6
ANON_USER_13317,16,3019.196,3117.76,2024-09-19,2024-11-18,10,3
ANON_USER_13817,16,472.553,463.12,2024-08-03,2024-10-31,13,3
ANON_USER_14033,16,373.556,400.74,2024-10-27,2024-12-30,13,3
ANON_USER_14251,16,379.9,235.54,2024-12-05,2025-01-06,14,2
ANON_USER_16793,16,175.994,180.77,2024-11-08,2024-12-29,14,2
ANON_USER_17856,16,923.464,819.51,2024-11-21,2024-12-14,8,2
ANON_USER_18614,16,261.215,263.04,2024-08-05,2024-12-28,14,5
ANON_USER_21644,16,606.23,567.23,2024-08-18,2024-12-16,13,5
