month,endReason,end_reason_category,order_count
2024-10,车辆继电器开路保护,待业务确认,1
2024-11,APP/微信/平台停止,待业务确认,4888
2024-11,BST车端主动停止,待业务确认,1802
2024-11,BST车端主动停止(达到单体电压),待业务确认,1045
2024-11,余额不足停止,待业务确认,201
2024-11,枪未正确连接/连接断开,待业务确认,171
2024-11,等待接收车端BRM报文超时,待业务确认,154
2024-11,BST车端主动停止(达到总电压),待业务确认,146
2024-11,达到桩端设置SOC阈值停止,待业务确认,116
2024-11,桩主动停止,待业务确认,113
2024-11,屏幕手动停止,待业务确认,99
2024-11,充电模块绝缘升压超时,待业务确认,87
2024-11,BST其他异常,待业务确认,82
2024-11,桩端急停按钮被按下,待业务确认,61
2024-11,等待接收车端BRO[00]报文超时,待业务确认,22
2024-11,启动中/运行中/停止中不允许启动,待业务确认,17
2024-11,BST充电连接器故障,待业务确认,15
2024-11,充电板通讯故障,待业务确认,14
2024-11,预充升压超时,待业务确认,13
2024-11,等待接收车端BCL报文超时,待业务确认,10
2024-11,BEM中CRM[AA]超时中止,待业务确认,5
2024-11,辅枪停止,待业务确认,5
2024-11,BEM中CRM[00]超时中止,待业务确认,4
2024-11,绝缘检测时未检测到电压,待业务确认,4
2024-11,与平台通讯中断停止,待业务确认,3
2024-11,充电设备产生有新充电订单,待业务确认,3
2024-11,电表数据异常,待业务确认,3
2024-11,等待接收车端BRO[AA]报文超时,待业务确认,3
2024-11,BST检测点2电压故障,待业务确认,2
2024-11,BST高压继电器故障,待业务确认,2
2024-11,审计:订单持续10分钟有电流电压但无电量停止,待业务确认,2
2024-11,绝缘检测阻值低告警,待业务确认,2
2024-11,BEM中CSD超时中止,待业务确认,1
2024-11,BEM中CST超时中止,待业务确认,1
2024-11,BEM其他原因中止,待业务确认,1
2024-11,BST电流过大,待业务确认,1
2024-11,平台侧强制停止订单,待业务确认,1
2024-11,车端已发BRO[AA]再发BRO[00],待业务确认,1
2024-11,车辆继电器开路保护,待业务确认,1
2024-11,锁枪异常,待业务确认,1
2024-12,APP/微信/平台停止,待业务确认,6867
2024-12,BST车端主动停止,待业务确认,3347
2024-12,BST车端主动停止(达到单体电压),待业务确认,2195
2024-12,BST车端主动停止(达到总电压),待业务确认,294
2024-12,余额不足停止,待业务确认,243
2024-12,达到桩端设置SOC阈值停止,待业务确认,222
2024-12,枪未正确连接/连接断开,待业务确认,186
2024-12,等待接收车端BRM报文超时,待业务确认,150
2024-12,BST其他异常,待业务确认,126
2024-12,屏幕手动停止,待业务确认,118
2024-12,桩端急停按钮被按下,待业务确认,92
2024-12,桩主动停止,待业务确认,38
2024-12,等待接收车端BRO[00]报文超时,待业务确认,27
2024-12,启动中/运行中/停止中不允许启动,待业务确认,16
2024-12,充电板通讯故障,待业务确认,14
2024-12,BST充电连接器故障,待业务确认,12
2024-12,等待接收车端BCL报文超时,待业务确认,11
2024-12,BST电压过大,待业务确认,8
2024-12,BST检测点2电压故障,待业务确认,7
2024-12,预充升压超时,待业务确认,7
2024-12,BST高压继电器故障,待业务确认,5
2024-12,BEM中CRM[00]超时中止,待业务确认,4
2024-12,BEM中CSD超时中止,待业务确认,4
2024-12,车端已发BRO[AA]再发BRO[00],待业务确认,4
2024-12,辅枪停止,待业务确认,4
2024-12,充电设备产生有新充电订单,待业务确认,3
2024-12,等待接收车端BRO[AA]报文超时,待业务确认,3
2024-12,设备掉电非正常停止,待业务确认,3
2024-12,BEM中CST超时中止,待业务确认,2
2024-12,与平台通讯中断停止,待业务确认,2
2024-12,电池极性反接故障,待业务确认,2
2024-12,等待接收车端BCP报文超时,待业务确认,2
2024-12,BEM中CRO超时中止,待业务确认,1
2024-12,BST电流过大,待业务确认,1
2024-12,K1/K2继电器外侧电压大于10V,待业务确认,1
2024-12,功率板通讯故障,待业务确认,1
2024-12,后台下发指令停止充电,待业务确认,1
2024-12,等待接收车端BCS报文超时,待业务确认,1
2024-12,车辆继电器开路保护,待业务确认,1
2025-01,APP/微信/平台停止,待业务确认,1366
2025-01,BST车端主动停止,待业务确认,780
2025-01,BST车端主动停止(达到单体电压),待业务确认,486
2025-01,BST车端主动停止(达到总电压),待业务确认,59
2025-01,达到桩端设置SOC阈值停止,待业务确认,41
2025-01,余额不足停止,待业务确认,37
2025-01,枪未正确连接/连接断开,待业务确认,36
2025-01,等待接收车端BRM报文超时,待业务确认,31
2025-01,桩端急停按钮被按下,待业务确认,28
2025-01,屏幕手动停止,待业务确认,25
2025-01,BST其他异常,待业务确认,18
2025-01,桩主动停止,待业务确认,11
2025-01,启动中/运行中/停止中不允许启动,待业务确认,7
2025-01,BST充电连接器故障,待业务确认,3
2025-01,BST电压过大,待业务确认,3
2025-01,等待接收车端BCL报文超时,待业务确认,2
2025-01,等待接收车端BRO[00]报文超时,待业务确认,2
2025-01,BEM中CRM[00]超时中止,待业务确认,1
2025-01,BEM中CRO超时中止,待业务确认,1
2025-01,BST高压继电器故障,待业务确认,1
2025-01,充电板通讯故障,待业务确认,1
2025-01,等待接收车端BCS报文超时,待业务确认,1
2025-01,等待接收车端BRO[AA]报文超时,待业务确认,1
2025-01,车辆继电器开路保护,待业务确认,1
