sample_order_id,station_code,anonymous_user_segment,charge_begin,charge_end,charge_time_minutes,charging_kwh,electricity_amount,service_amount,gross_amount,pay_status,end_reason_category,is_zero_energy_session,data_origin
SAMPLE-033,S003,frequent,2025-01-05 08:00:00,2025-01-05 08:39:00,39,15.88,16.67,5.56,22.23,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-034,S004,occasional,2025-01-05 12:00:00,2025-01-05 12:18:00,18,26.17,17.01,9.16,26.17,paid,user_stop,False,fully_synthetic
SAMPLE-035,S005,regular,2025-01-05 16:00:00,2025-01-05 17:05:00,65,30.25,31.76,10.59,42.35,paid,platform_stop,False,fully_synthetic
SAMPLE-036,S001,frequent,2025-01-05 15:00:00,2025-01-05 15:43:00,43,51.38,42.13,17.98,60.11,paid,platform_stop,False,fully_synthetic
SAMPLE-037,S002,occasional,2025-01-05 19:00:00,2025-01-05 19:23:00,23,51.54,54.12,18.04,72.16,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-038,S003,regular,2025-01-05 23:00:00,2025-01-05 23:19:00,19,19.08,20.03,6.68,26.71,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-039,S004,frequent,2025-01-06 03:00:00,2025-01-06 04:30:00,90,33.45,35.12,11.71,46.83,unpaid,vehicle_target_reached,False,fully_synthetic
SAMPLE-040,S005,occasional,2025-01-06 07:00:00,2025-01-06 08:11:00,71,51.22,33.29,17.93,51.22,paid,platform_stop,False,fully_synthetic
SAMPLE-041,S001,regular,2025-01-06 06:00:00,2025-01-06 06:21:00,21,23.91,25.11,8.37,33.48,paid,platform_stop,False,fully_synthetic
SAMPLE-042,S002,frequent,2025-01-06 10:00:00,2025-01-06 10:33:00,33,63.19,66.35,22.12,88.47,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-043,S003,occasional,2025-01-06 14:00:00,2025-01-06 14:22:00,22,56.94,37.01,19.93,56.94,paid,user_stop,False,fully_synthetic
SAMPLE-044,S004,regular,2025-01-06 18:00:00,2025-01-06 18:28:00,28,0.0,0.0,0.0,0.0,paid,communication_timeout,True,fully_synthetic
SAMPLE-045,S005,frequent,2025-01-06 22:00:00,2025-01-06 23:11:00,71,52.9,34.38,18.51,52.89,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-046,S001,occasional,2025-01-06 21:00:00,2025-01-06 22:20:00,80,54.49,35.42,19.07,54.49,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-047,S002,regular,2025-01-07 01:00:00,2025-01-07 02:19:00,79,58.35,47.85,20.42,68.27,paid,user_stop,False,fully_synthetic
SAMPLE-048,S003,frequent,2025-01-07 05:00:00,2025-01-07 06:11:00,71,67.51,55.36,23.63,78.99,paid,platform_stop,False,fully_synthetic
SAMPLE-049,S004,occasional,2025-01-07 09:00:00,2025-01-07 10:06:00,66,11.99,12.59,4.2,16.79,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-050,S005,regular,2025-01-07 13:00:00,2025-01-07 13:36:00,36,64.79,53.13,22.68,75.81,paid,user_stop,False,fully_synthetic
SAMPLE-051,S001,frequent,2025-01-07 12:00:00,2025-01-07 12:36:00,36,44.99,47.24,15.75,62.99,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-052,S002,occasional,2025-01-07 16:00:00,2025-01-07 16:36:00,36,37.91,39.81,13.27,53.08,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-053,S003,regular,2025-01-07 20:00:00,2025-01-07 20:28:00,28,54.0,35.1,18.9,54.0,paid,user_stop,False,fully_synthetic
SAMPLE-054,S004,frequent,2025-01-08 00:00:00,2025-01-08 01:12:00,72,52.6,55.23,18.41,73.64,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-055,S005,occasional,2025-01-08 04:00:00,2025-01-08 04:27:00,27,11.23,9.21,3.93,13.14,paid,user_stop,False,fully_synthetic
SAMPLE-056,S001,regular,2025-01-08 03:00:00,2025-01-08 03:29:00,29,68.38,56.07,23.93,80.0,paid,platform_stop,False,fully_synthetic
SAMPLE-057,S002,frequent,2025-01-08 07:00:00,2025-01-08 07:21:00,21,53.33,34.66,18.67,53.33,paid,platform_stop,False,fully_synthetic
SAMPLE-058,S003,occasional,2025-01-08 11:00:00,2025-01-08 11:52:00,52,28.14,23.07,9.85,32.92,unpaid,user_stop,False,fully_synthetic
SAMPLE-059,S004,regular,2025-01-08 15:00:00,2025-01-08 15:33:00,33,27.02,17.56,9.46,27.02,paid,user_stop,False,fully_synthetic
SAMPLE-060,S005,frequent,2025-01-08 19:00:00,2025-01-08 19:51:00,51,49.3,51.77,17.25,69.02,paid,platform_stop,False,fully_synthetic
SAMPLE-061,S001,occasional,2025-01-08 18:00:00,2025-01-08 18:21:00,21,25.83,16.79,9.04,25.83,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-062,S002,regular,2025-01-08 22:00:00,2025-01-08 22:46:00,46,22.46,23.58,7.86,31.44,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-063,S003,frequent,2025-01-09 02:00:00,2025-01-09 03:32:00,92,67.77,55.57,23.72,79.29,paid,platform_stop,False,fully_synthetic
SAMPLE-064,S004,occasional,2025-01-09 06:00:00,2025-01-09 07:07:00,67,33.13,27.17,11.6,38.77,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-065,S005,regular,2025-01-09 10:00:00,2025-01-09 10:22:00,22,41.72,27.12,14.6,41.72,paid,user_stop,False,fully_synthetic
SAMPLE-066,S001,frequent,2025-01-09 09:00:00,2025-01-09 10:31:00,91,52.18,42.79,18.26,61.05,paid,platform_stop,False,fully_synthetic
SAMPLE-067,S002,occasional,2025-01-09 13:00:00,2025-01-09 14:29:00,89,64.63,67.86,22.62,90.48,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-068,S003,regular,2025-01-09 17:00:00,2025-01-09 17:51:00,51,17.89,11.63,6.26,17.89,paid,user_stop,False,fully_synthetic
SAMPLE-069,S004,frequent,2025-01-09 21:00:00,2025-01-09 21:50:00,50,36.97,38.82,12.94,51.76,paid,platform_stop,False,fully_synthetic
SAMPLE-070,S005,occasional,2025-01-10 01:00:00,2025-01-10 02:31:00,91,34.94,36.69,12.23,48.92,paid,user_stop,False,fully_synthetic
SAMPLE-071,S001,regular,2025-01-10 00:00:00,2025-01-10 01:08:00,68,71.99,46.79,25.2,71.99,paid,user_stop,False,fully_synthetic
SAMPLE-072,S002,frequent,2025-01-10 04:00:00,2025-01-10 04:42:00,42,10.1,8.28,3.53,11.81,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-073,S003,occasional,2025-01-10 08:00:00,2025-01-10 08:33:00,33,27.3,22.39,9.55,31.94,paid,user_stop,False,fully_synthetic
SAMPLE-074,S004,regular,2025-01-10 12:00:00,2025-01-10 12:53:00,53,16.71,10.86,5.85,16.71,paid,user_stop,False,fully_synthetic
SAMPLE-075,S005,frequent,2025-01-10 16:00:00,2025-01-10 17:25:00,85,35.3,22.95,12.35,35.3,paid,user_stop,False,fully_synthetic
SAMPLE-076,S001,occasional,2025-01-10 15:00:00,2025-01-10 15:58:00,58,34.17,22.21,11.96,34.17,paid,platform_stop,False,fully_synthetic
SAMPLE-077,S002,regular,2025-01-10 19:00:00,2025-01-10 20:32:00,92,17.58,18.46,6.15,24.61,unpaid,vehicle_target_reached,False,fully_synthetic
SAMPLE-078,S003,frequent,2025-01-10 23:00:00,2025-01-10 23:28:00,28,20.66,16.94,7.23,24.17,paid,platform_stop,False,fully_synthetic
SAMPLE-079,S004,occasional,2025-01-11 03:00:00,2025-01-11 03:50:00,50,49.56,52.04,17.35,69.39,paid,platform_stop,False,fully_synthetic
SAMPLE-080,S005,regular,2025-01-11 07:00:00,2025-01-11 07:48:00,48,0.0,0.0,0.0,0.0,paid,connector_interrupted,True,fully_synthetic
SAMPLE-081,S001,frequent,2025-01-11 06:00:00,2025-01-11 07:15:00,75,53.09,34.51,18.58,53.09,paid,user_stop,False,fully_synthetic
SAMPLE-082,S002,occasional,2025-01-11 10:00:00,2025-01-11 11:19:00,79,61.85,64.94,21.65,86.59,paid,user_stop,False,fully_synthetic
SAMPLE-083,S003,regular,2025-01-11 14:00:00,2025-01-11 14:23:00,23,69.29,72.75,24.25,97.0,paid,user_stop,False,fully_synthetic
SAMPLE-084,S004,frequent,2025-01-11 18:00:00,2025-01-11 18:38:00,38,52.46,43.02,18.36,61.38,paid,platform_stop,False,fully_synthetic
SAMPLE-085,S005,occasional,2025-01-11 22:00:00,2025-01-11 22:55:00,55,57.13,37.13,20.0,57.13,paid,user_stop,False,fully_synthetic
SAMPLE-086,S001,regular,2025-01-11 21:00:00,2025-01-11 21:59:00,59,57.11,59.97,19.99,79.96,paid,user_stop,False,fully_synthetic
SAMPLE-087,S002,frequent,2025-01-12 01:00:00,2025-01-12 02:00:00,60,52.39,55.01,18.34,73.35,paid,user_stop,False,fully_synthetic
SAMPLE-088,S003,occasional,2025-01-12 05:00:00,2025-01-12 06:18:00,78,56.41,36.67,19.74,56.41,paid,platform_stop,False,fully_synthetic
SAMPLE-089,S004,regular,2025-01-12 09:00:00,2025-01-12 10:11:00,71,68.17,44.31,23.86,68.17,paid,user_stop,False,fully_synthetic
SAMPLE-090,S005,frequent,2025-01-12 13:00:00,2025-01-12 13:21:00,21,16.81,13.78,5.88,19.66,paid,user_stop,False,fully_synthetic
SAMPLE-091,S001,occasional,2025-01-12 12:00:00,2025-01-12 12:40:00,40,41.51,26.98,14.53,41.51,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-092,S002,regular,2025-01-12 16:00:00,2025-01-12 16:20:00,20,43.94,36.03,15.38,51.41,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-093,S003,frequent,2025-01-12 20:00:00,2025-01-12 21:14:00,74,15.63,16.41,5.47,21.88,paid,platform_stop,False,fully_synthetic
SAMPLE-094,S004,occasional,2025-01-13 00:00:00,2025-01-13 00:38:00,38,28.47,18.51,9.96,28.47,paid,user_stop,False,fully_synthetic
SAMPLE-095,S005,regular,2025-01-13 04:00:00,2025-01-13 04:52:00,52,43.79,35.91,15.33,51.24,paid,user_stop,False,fully_synthetic
SAMPLE-096,S001,frequent,2025-01-13 03:00:00,2025-01-13 04:09:00,69,26.86,17.46,9.4,26.86,unpaid,platform_stop,False,fully_synthetic
SAMPLE-097,S002,occasional,2025-01-13 07:00:00,2025-01-13 08:27:00,87,20.64,21.67,7.22,28.89,paid,platform_stop,False,fully_synthetic
SAMPLE-098,S003,regular,2025-01-13 11:00:00,2025-01-13 11:27:00,27,49.11,31.92,17.19,49.11,paid,vehicle_target_reached,False,fully_synthetic
SAMPLE-099,S004,frequent,2025-01-13 15:00:00,2025-01-13 15:31:00,31,53.26,43.67,18.64,62.31,paid,platform_stop,False,fully_synthetic
SAMPLE-100,S005,occasional,2025-01-13 19:00:00,2025-01-13 20:23:00,83,48.54,39.8,16.99,56.79,paid,platform_stop,False,fully_synthetic
